Frequency,Gain
(1+0j),0.0006283183128602571
(1.0717734625362931+0j),0.0006734148695669799
(1.1486983549970349+0j),0.0007217481580239584
(1.231144413344916+0j),0.0007735504886003555
(1.319507910772894+0j),0.0008290708451421378
(1.4142135623730947+0j),0.0008885760816287277
(1.5157165665103978+0j),0.0009523522047048124
(1.6245047927124707+0j),0.001020705748247849
(1.7411011265922478+0j),0.0010939652465732767
(1.8660659830736144+0j),0.0011724828133524384
(1.9999999999999996+0j),0.0012566358338249504
(2.143546925072586+0j),0.0013468287784301294
(2.2973967099940693+0j),0.0014434951465636245
(2.4622888266898317+0j),0.001547099549788277
(2.6390158215457875+0j),0.0016581399444954145
(2.828427124746189+0j),0.001777150024727239
(3.0314331330207946+0j),0.001904701786636032
(3.2490095854249406+0j),0.002041408276875041
(3.4822022531844947+0j),0.0021879265380927624
(3.7321319661472274+0j),0.002344960765640877
(3.9999999999999973+0j),0.0025132656906103647
(4.28709385014517+0j),0.002693650205384765
(4.594793419988137+0j),0.0028869812490486813
(4.924577653379662+0j),0.003094187971218267
(5.278031643091573+0j),0.0033162661941736555
(5.656854249492376+0j),0.0035542831945762255
(6.0628662660415875+0j),0.003809382827551771
(6.4980191708498785+0j),0.004082791017519464
(6.964404506368987+0j),0.004375821641851832
(7.464263932294452+0j),0.0046898828352682775
(7.999999999999992+0j),0.00502648374479979
(8.574187700290336+0j),0.0053872417672209735
(9.18958683997627+0j),0.005773890303032371
(9.84915530675932+0j),0.006188287063396421
(10.556063286183143+0j),0.006632422968888055
(11.313708498984749+0j),0.007108431681519296
(12.125732532083171+0j),0.0076185998142378995
(12.996038341699753+0j),0.008165377864983382
(13.92880901273797+0j),0.008751391925407125
(14.9285278645889+0j),0.009379456217521686
(15.99999999999998+0j),0.010052586514828344
(17.14837540058067+0j),0.010774014507867389
(18.379173679952537+0j),0.011547203177621925
(19.698310613518636+0j),0.012375863243754361
(21.112126572366282+0j),0.013263970758226787
(22.627416997969494+0j),0.014215785918400257
(24.25146506416634+0j),0.015235873177157017
(25.992076683399503+0j),0.01632912273085651
(27.857618025475936+0j),0.017500773468909405
(29.857055729177798+0j),0.01875643747129287
(31.999999999999957+0j),0.02010212614225458
(34.29675080116134+0j),0.021544278069539194
(36.75834735990507+0j),0.02308978869843545
(39.39662122703727+0j),0.024746041908434182
(42.224253144732565+0j),0.02652094357686976
(45.25483399593899+0j),0.028422957208047425
(48.50293012833268+0j),0.03046114169736812
(51.984153366799006+0j),0.032645191287024374
(55.71523605095187+0j),0.03498547775194361
(59.714111458355596+0j),0.03749309483055519
(63.999999999999915+0j),0.040179904883140105
(68.59350160232268+0j),0.04305858771913806
(73.51669471981015+0j),0.04614269148159617
(78.79324245407454+0j),0.04944668540923678
(84.44850628946513+0j),0.052986014211136946
(90.50966799187798+0j),0.05677715368184393
(97.00586025666536+0j),0.06083766705124566
(103.96830673359801+0j),0.06518626139817184
(111.43047210190375+0j),0.06984284325306028
(119.42822291671119+0j),0.07482857226558785
(127.99999999999983+0j),0.0801659115093218
(137.18700320464535+0j),0.08587867262747721
(147.0333894396203+0j),0.09199205358099732
(157.5864849081491+0j),0.09853266623081422
(168.89701257893026+0j),0.10552855035829034
(181.01933598375595+0j),0.11300916998978144
(194.01172051333072+0j),0.12100538703273606
(207.93661346719603+0j),0.12954940624464617
(222.8609442038075+0j),0.1386746844410264
(238.85644583342238+0j),0.14841579561211984
(255.99999999999966+0j),0.15880824228183096
(274.3740064092907+0j),0.16988820204833976
(294.0667788792406+0j),0.1816921968641297
(315.1729698162982+0j),0.19425667135208338
(337.7940251578605+0j),0.20761746547183202
(362.0386719675119+0j),0.22180916636655354
(388.02344102666143+0j),0.2368643245283745
(415.87322693439205+0j),0.2528125208958433
(445.721888407615+0j),0.26967927459756197
(477.71289166684477+0j),0.28748478630955715
(511.9999999999993+0j),0.30624252016228454
(548.7480128185814+0j),0.32595763834625385
(588.1335577584812+0j),0.34662531741326563
(630.3459396325964+0j),0.3682289938486026
(675.588050315721+0j),0.39073860839896113
(724.0773439350238+0j),0.4141089427595259
(776.0468820533229+0j),0.43827816649211265
(831.7464538687841+0j),0.4631667333345709
(891.44377681523+0j),0.48867678021158856
(955.4257833336895+0j),0.5146921844089462
(1000+0j),0.5320179682146539
